A,B,distance
ID,VN,2285880.240963625
IR,AF,1224793.2623744938
IR,BH,702028.1901977877
IR,IQ,945066.9569525612
IR,OM,1287387.8858733207
IR,PK,1729867.8670619205
IR,QA,769268.2906746112
IR,SA,1269584.4197743924
IR,TR,1722632.7300936468
IR,TM,1004103.2280056741
IR,AE,855561.1941543429
IQ,IR,945066.9569525612
IQ,JO,644737.1626303797
IQ,SA,1039165.6433780292
IQ,SY,475954.69775223034
IQ,TR,917838.113804082
IE,GB,432637.4869250496
IL,EG,734296.3294011572
IL,JO,144700.6228228304
IL,LB,323525.38636413636
IL,SY,576065.109034995
IT,AT,623405.8244854198
IT,FR,968325.7702719718
IT,MT,756439.5209447487
IT,CH,585651.2846767226
CI,BF,641309.2224405082
CI,GH,606294.2414645837
CI,GN,593084.9681202976
CI,LR,445107.51766049664
CI,ML,1025128.5908862972
JP,CN,2940405.975633038
JP,PH,2877166.904670036
JP,KR,733292.135782655
JP,TW,1896275.4991756931
JP,US,10001092.749597237
JO,IQ,644737.1626303797
JO,IL,144700.6228228304
JO,SA,1121773.8166237676
JO,SY,487384.1532904341
KZ,KG,956255.8295335582
KZ,CN,3196538.4718603278
KZ,TM,1190609.2839546772
KZ,UZ,795174.4520243664
KE,ET,1015247.6540017346
KE,SO,1196403.3035569373
KE,SS,1174334.8240741775
KE,SD,1785204.170055031
KE,TZ,794259.4644054223
KE,UG,638112.4060849193
NL,FR,644572.897619583
NL,DE,340389.7764096918
NL,VE,8131005.827609565
KI,FR,14571577.900817258
KI,US,9776318.187033346
KG,KZ,956255.8295335582
KG,CN,2534791.6778159165
KG,TJ,410972.7726777705
KG,UZ,755789.9632231788
LA,KH,632551.0990088679
LA,MM,936947.8435374682
LA,CN,1964942.6334737034
LA,TH,566998.5051541586
LA,VN,490991.2060503652
LV,BY,431984.3001580666
LV,SE,724661.1008408193
LB,IL,323525.38636413636
LB,SY,300722.9275167255
LS,ZA,417175.35833972413
LR,GN,409732.5704679805
LR,CI,445107.51766049664
LR,SL,339391.23393933935
LY,DZ,1582647.8759686192
LY,TD,1307696.4290347055
LY,EG,1189786.829289719
LY,NE,1326323.6364801773
LY,SD,2049373.9294650645
LY,TN,1027966.197021893
LI,AT,347156.0545726408
LI,CH,107561.94369721778
MG,KM,906635.8052239189
MG,FR,8714767.840335712
MG,MZ,1263845.0520719052
MG,SC,1565143.3022365966
MW,MZ,676424.7971665006
MW,TZ,750925.5105332739
MW,ZM,658908.0199895569
MY,BN,745916.8571125575
MY,ID,1244235.4995707395
MY,PH,1933455.6569598878
MY,SG,504067.92845311016
MY,TH,1446172.2153949002
ML,DZ,1327633.2753119315
ML,BF,566541.2156925852
ML,GN,1086485.504874975
ML,CI,1025128.5908862972
ML,MR,860668.48499346
ML,NE,1490056.3675845047
ML,SN,1140215.323894022
MT,IT,756439.5209447487
MH,FM,1423553.5300054448
MH,KI,665737.518201026
MH,NR,967423.6097506521
MH,US,9542221.274927381
MR,DZ,1442521.718867066
MR,ML,860668.48499346
MR,SN,816300.5502047818
MX,GT,1489429.2705642504
MX,US,1900852.3370576191
MN,CN,1242633.3383048752
ME,AL,207100.19635388532
ME,HR,408042.57652460755
MA,DZ,808187.8865992742
MA,MR,1321435.9548534402
MZ,KM,1261441.362482128
MZ,MW,676424.7971665006
MZ,ZA,1576345.793808472
MZ,TZ,1413066.861355894
MZ,ZM,931410.718248007
MZ,ZW,526255.5197585542
MM,BD,667247.9640418752
MM,IN,1340486.414822749
MM,LA,936947.8435374682
MM,CN,1702160.371628706
MM,TH,1035707.6511459756
NA,AO,1186131.4500719253
NA,BW,694236.790710842
NA,ZA,967341.3715989959
NA,ZM,1532349.5171588054
NP,IN,587520.9399413599
NP,CN,2029751.101567526
NL,DE,340389.7764096918
NZ,AU,3660250.5311663784
NI,CO,1570703.765285959
NI,CR,351318.4720663518
NI,HN,267620.17835295486
NE,DZ,1533603.9070209176
